Sample No.,Site,Sex,Wet weight (grams),pct_wet (%) (% of surface area acting as a free-water exchanger),Solar absorbtivity (dec %),posture,minimum temperature it will leave retreat to bask - the nearest degree (degrees celcius) ,minimum basking temperature - to the nearest degree (degrees C),minimum foraging temperature (degrees celcius),maximum temperature at which activity occurs (degrees C),Preferreed temperature (degrees C),Critical thermal maximum (degrees C),Critical thermal minimum (degrees C),min depth (node),max depth (node)
1,1,F,0.332,0.02,0.528,1,12,12,17,38,24.5,60.89,11.5,1,1
2,1,M,0.29,0.02,0.74,1,12,12,17,38,28,60.36,11.5,1,1
3,1,M,0.279,0.02,0.737,1,12,12,17,38,28,60.36,11.5,1,1
4,1,M,0.302,0.02,0.723,1,12,12,17,38,28,60.36,11.5,1,1
5,1,F,0.328,0.02,0.517,1,12,12,17,38,24.5,60.89,11.5,1,1
6,2,F,0.328,0.02,0.582,1,12,12,17,38,24.5,60.89,11.5,1,1
7,2,M,0.29,0.02,0.74,1,12,12,17,38,28,60.36,11.5,1,1
8,2,F,0.332,0.02,0.528,1,12,12,17,38,24.5,60.89,11.5,1,1
9,2,F,0.329,0.02,0.514,1,12,12,17,38,24.5,60.89,11.5,1,1
10,2,F,0.328,0.02,0.514,1,12,12,17,38,24.5,60.89,11.5,1,1
11,3,M,0.321,0.02,0.75,1,12,12,17,38,28,60.36,11.5,1,1
12,3,M,0.3,0.02,0.745,1,12,12,17,38,28,60.36,11.5,1,1
13,3,F,0.327,0.02,0.533,1,12,12,17,38,24.5,60.89,11.5,1,1
14,3,M,0.301,0.02,0.752,1,12,12,17,38,28,60.36,11.5,1,1
15,3,M,0.311,0.02,0.721,1,12,12,17,38,28,60.36,11.5,1,1
16,4,F,0.331,0.02,0.529,1,12,12,17,38,24.5,60.89,11.5,1,1
17,4,M,0.295,0.02,0.741,1,12,12,17,38,28,60.36,11.5,1,1
18,4,F,0.327,0.02,0.556,1,12,12,17,38,24.5,60.89,11.5,1,1
19,4,F,0.333,0.02,0.551,1,12,12,17,38,24.5,60.89,11.5,1,1
20,4,F,0.334,0.02,0.538,1,12,12,17,38,24.5,60.89,11.5,1,1
21,5,M,0.279,0.02,0.736,1,12,12,17,38,28,60.36,11.5,1,1
22,5,M,0.28,0.02,0.782,1,12,12,17,38,28,60.36,11.5,1,1
23,5,F,0.336,0.02,0.504,1,12,12,17,38,24.5,60.89,11.5,1,1
24,5,F,0.339,0.02,0.498,1,12,12,17,38,24.5,60.89,11.5,1,1
25,5,M,0.271,0.02,0.762,1,12,12,17,38,28,60.36,11.5,1,1
26,6,M,0.282,0.02,0.719,1,12,12,17,38,28,60.36,11.5,1,1
27,6,M,0.29,0.02,0.74,1,12,12,17,38,28,60.36,11.5,1,1
27,6,M,0.284,0.02,0.708,1,12,12,17,38,28,60.36,11.5,1,1
27,6,F,0.332,0.02,0.523,1,12,12,17,38,24.5,60.89,11.5,1,1
27,6,F,0.341,0.02,0.529,1,12,12,17,38,24.5,60.89,11.5,1,1